               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.011378,            0.003923,           0.0017148,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                 137,            0.011544,           0.0040616,           0.0015048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.92e-05,            5.92e-05,            5.92e-05
                 138,            0.011417,           0.0038373,           0.0014594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.89e-05,            5.89e-05,            5.89e-05
                 139,            0.011778,           0.0041877,           0.0013448,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.86e-05,            5.86e-05,            5.86e-05
                 140,             0.01149,           0.0043239,           0.0014852,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.83e-05,            5.83e-05,            5.83e-05
                 141,            0.010837,             0.00393,            0.001046,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             5.8e-05,             5.8e-05,             5.8e-05
                 142,             0.01107,           0.0040028,           0.0014083,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.77e-05,            5.77e-05,            5.77e-05
                 143,            0.011118,           0.0040306,           0.0015404,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.74e-05,            5.74e-05,            5.74e-05
                 144,            0.011388,           0.0041352,           0.0014756,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.71e-05,            5.71e-05,            5.71e-05
                 145,            0.011425,           0.0044203,           0.0014501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.68e-05,            5.68e-05,            5.68e-05
                 146,            0.011475,           0.0041807,            0.001164,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.65e-05,            5.65e-05,            5.65e-05
                 147,            0.010859,           0.0038907,           0.0012422,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.62e-05,            5.62e-05,            5.62e-05
                 148,            0.010657,           0.0038376,           0.0011685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.59e-05,            5.59e-05,            5.59e-05
                 149,            0.011323,           0.0041343,           0.0013517,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.56e-05,            5.56e-05,            5.56e-05
                 150,            0.011293,           0.0040916,           0.0010188,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.53e-05,            5.53e-05,            5.53e-05
                 151,            0.010787,           0.0039922,           0.0011901,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             5.5e-05,             5.5e-05,             5.5e-05
                 152,            0.011138,           0.0039985,           0.0013006,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.47e-05,            5.47e-05,            5.47e-05
                 153,            0.010935,           0.0039364,           0.0014293,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.44e-05,            5.44e-05,            5.44e-05
                 154,            0.010741,           0.0040399,           0.0012078,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.41e-05,            5.41e-05,            5.41e-05
                 155,            0.010755,           0.0039062,          0.00095079,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.38e-05,            5.38e-05,            5.38e-05
                 156,            0.010685,           0.0039591,          0.00099441,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.35e-05,            5.35e-05,            5.35e-05
                 157,            0.011225,           0.0042522,            0.001997,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.32e-05,            5.32e-05,            5.32e-05
                 158,            0.010633,           0.0039451,          0.00095567,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.29e-05,            5.29e-05,            5.29e-05
                 159,            0.010849,           0.0041382,           0.0012319,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.26e-05,            5.26e-05,            5.26e-05
                 160,            0.010979,            0.004284,            0.001221,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.23e-05,            5.23e-05,            5.23e-05
                 161,            0.010518,           0.0040202,           0.0012354,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             5.2e-05,             5.2e-05,             5.2e-05
                 162,            0.010953,           0.0039409,           0.0010431,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.17e-05,            5.17e-05,            5.17e-05
                 163,            0.010319,            0.004004,           0.0013604,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.14e-05,            5.14e-05,            5.14e-05
                 164,            0.010369,           0.0038304,           0.0013553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.11e-05,            5.11e-05,            5.11e-05
                 165,            0.010438,           0.0034619,          0.00092902,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.08e-05,            5.08e-05,            5.08e-05
                 166,            0.010692,           0.0039342,           0.0010603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.05e-05,            5.05e-05,            5.05e-05
                 167,            0.010292,           0.0037544,           0.0013675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            5.02e-05,            5.02e-05,            5.02e-05
                 168,            0.010734,           0.0039744,           0.0010403,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.99e-05,            4.99e-05,            4.99e-05
                 169,            0.010389,           0.0039818,             0.00103,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                 170,            0.010625,           0.0038597,           0.0010591,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.93e-05,            4.93e-05,            4.93e-05
                 171,            0.010609,           0.0040375,           0.0012612,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             4.9e-05,             4.9e-05,             4.9e-05
                 172,            0.010567,           0.0038909,            0.001547,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.87e-05,            4.87e-05,            4.87e-05
                 173,            0.010063,           0.0037617,           0.0013671,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.84e-05,            4.84e-05,            4.84e-05
                 174,            0.010109,           0.0037654,          0.00099647,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.81e-05,            4.81e-05,            4.81e-05
                 175,            0.010525,           0.0041171,           0.0013299,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.78e-05,            4.78e-05,            4.78e-05
                 176,            0.009788,           0.0036569,           0.0012675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.75e-05,            4.75e-05,            4.75e-05
                 177,            0.010162,           0.0036414,           0.0011838,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            4.72e-05,            4.72e-05,            4.72e-05
