               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.010618,           0.0023091,            0.001185,             0.96651,              0.9626,             0.98118,             0.76334,            0.017746,           0.0070751,           0.0031543,            0.000799,            0.000799,            0.000799
                  69,            0.010462,           0.0021659,           0.0012439,             0.97424,             0.95654,             0.98395,             0.76594,            0.017707,             0.00706,           0.0030061,            0.000796,            0.000796,            0.000796
                  70,            0.010231,           0.0021955,           0.0011674,               0.967,             0.96587,             0.98043,             0.75645,            0.017758,           0.0071068,            0.003007,            0.000793,            0.000793,            0.000793
                  71,           0.0099592,           0.0021621,           0.0010861,             0.97144,             0.95486,             0.98074,             0.75934,            0.017674,           0.0071874,           0.0029478,             0.00079,             0.00079,             0.00079
                  72,            0.010277,           0.0022739,           0.0011428,              0.9712,             0.96554,             0.98007,             0.76156,            0.017666,           0.0071502,            0.003099,            0.000787,            0.000787,            0.000787
                  73,            0.010257,           0.0020743,           0.0011873,             0.97377,              0.9601,             0.97995,             0.75871,            0.017738,           0.0072542,           0.0031202,            0.000784,            0.000784,            0.000784
                  74,            0.010329,           0.0022174,           0.0011519,             0.97408,             0.94678,             0.98227,             0.76051,            0.017741,           0.0072897,           0.0027205,            0.000781,            0.000781,            0.000781
                  75,            0.010112,           0.0021975,           0.0011024,             0.96487,             0.95608,             0.98038,             0.75893,            0.017721,           0.0073375,           0.0027712,            0.000778,            0.000778,            0.000778
                  76,           0.0098533,           0.0021495,           0.0010812,             0.96611,             0.95745,             0.98088,             0.76005,            0.017541,           0.0072902,            0.002883,            0.000775,            0.000775,            0.000775
                  77,           0.0098751,           0.0020816,           0.0011029,             0.97544,             0.95493,             0.98167,             0.76263,            0.017678,           0.0073317,           0.0028842,            0.000772,            0.000772,            0.000772
                  78,           0.0098518,           0.0020709,           0.0010678,             0.97578,             0.94921,             0.98112,             0.76295,            0.017649,           0.0073829,           0.0027715,            0.000769,            0.000769,            0.000769
                  79,           0.0095143,           0.0020364,           0.0010945,             0.97849,             0.95348,             0.98211,             0.76601,            0.017514,           0.0073694,           0.0027983,            0.000766,            0.000766,            0.000766
                  80,           0.0096472,           0.0019634,           0.0010576,              0.9722,             0.95729,             0.97661,             0.75646,            0.017544,            0.007418,           0.0026348,            0.000763,            0.000763,            0.000763
                  81,           0.0096581,           0.0020517,           0.0011037,             0.97748,             0.95341,             0.97664,             0.75788,             0.01762,           0.0074874,           0.0027138,             0.00076,             0.00076,             0.00076
                  82,           0.0098125,           0.0020188,           0.0010637,             0.98385,             0.95232,             0.97707,                0.76,            0.017615,           0.0074623,            0.002711,            0.000757,            0.000757,            0.000757
                  83,           0.0096553,           0.0021181,           0.0010777,             0.97968,             0.95389,             0.97667,             0.75826,            0.017629,           0.0074758,            0.002627,            0.000754,            0.000754,            0.000754
                  84,           0.0094162,           0.0020767,           0.0010432,             0.97454,             0.95391,             0.98312,             0.76508,            0.017594,           0.0074746,           0.0025395,            0.000751,            0.000751,            0.000751
                  85,           0.0090832,           0.0018924,           0.0010347,             0.97605,              0.9533,             0.97821,             0.76335,            0.017565,           0.0074885,           0.0025507,            0.000748,            0.000748,            0.000748
                  86,            0.009421,           0.0019736,            0.001066,             0.97933,             0.94808,             0.97806,             0.76042,            0.017572,            0.007479,           0.0025329,            0.000745,            0.000745,            0.000745
                  87,           0.0092624,           0.0019392,            0.001011,             0.97497,             0.95182,             0.97916,              0.7651,            0.017561,           0.0075541,            0.002528,            0.000742,            0.000742,            0.000742
                  88,           0.0092978,           0.0020344,           0.0010263,             0.97662,             0.95487,             0.97858,              0.7639,            0.017657,           0.0075755,           0.0025786,            0.000739,            0.000739,            0.000739
