               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.016042,           0.0052935,           0.0024415,             0.96838,             0.96139,             0.97566,             0.76369,            0.017645,            0.005969,            0.002836,             8.2e-05,             8.2e-05,             8.2e-05
                  62,             0.01646,            0.005399,           0.0027756,             0.96656,             0.96139,             0.97158,               0.762,            0.017551,             0.00594,           0.0027213,            8.17e-05,            8.17e-05,            8.17e-05
                  63,            0.015783,           0.0049984,           0.0033208,             0.96844,             0.96246,             0.97185,             0.76224,            0.017487,           0.0059224,           0.0027653,            8.14e-05,            8.14e-05,            8.14e-05
                  64,            0.016239,           0.0052691,            0.002295,             0.96744,             0.96023,             0.97442,             0.76694,            0.017454,           0.0058879,           0.0026123,            8.11e-05,            8.11e-05,            8.11e-05
                  65,            0.015851,           0.0053018,           0.0027416,             0.96723,             0.95901,             0.97575,             0.76305,            0.017564,           0.0058965,           0.0029073,            8.08e-05,            8.08e-05,            8.08e-05
                  66,            0.015617,           0.0050431,           0.0025818,             0.96431,             0.95674,              0.9743,             0.76006,            0.017449,           0.0059426,           0.0026198,            8.05e-05,            8.05e-05,            8.05e-05
                  67,            0.015767,            0.005293,           0.0020365,              0.9679,             0.95276,             0.97197,             0.76168,            0.017399,           0.0059413,           0.0030382,            8.02e-05,            8.02e-05,            8.02e-05
                  68,            0.015711,           0.0055155,           0.0025788,             0.96296,             0.96718,             0.97747,             0.76798,             0.01741,           0.0058983,           0.0027504,            7.99e-05,            7.99e-05,            7.99e-05
                  69,             0.01549,           0.0051084,           0.0022591,             0.97152,             0.95367,             0.97915,             0.76448,            0.017492,           0.0059418,           0.0024094,            7.96e-05,            7.96e-05,            7.96e-05
                  70,            0.015395,           0.0051669,           0.0021117,             0.97343,             0.95691,             0.97684,             0.76141,            0.017398,            0.005938,           0.0027484,            7.93e-05,            7.93e-05,            7.93e-05
                  71,            0.014941,           0.0050156,           0.0020964,             0.97193,             0.95267,             0.97523,             0.76773,              0.0175,           0.0059055,           0.0025375,             7.9e-05,             7.9e-05,             7.9e-05
                  72,             0.01519,           0.0053454,           0.0025087,             0.97023,             0.94821,              0.9738,             0.76732,            0.017413,           0.0059098,           0.0029222,            7.87e-05,            7.87e-05,            7.87e-05
                  73,            0.015571,           0.0051226,            0.002637,             0.96319,             0.96937,              0.9762,             0.76618,             0.01732,           0.0059337,           0.0024174,            7.84e-05,            7.84e-05,            7.84e-05
                  74,            0.015184,           0.0051224,            0.002471,             0.97104,             0.96481,             0.97462,             0.76714,            0.017349,           0.0059231,           0.0022658,            7.81e-05,            7.81e-05,            7.81e-05
                  75,            0.014882,           0.0048758,            0.002235,             0.97376,             0.96281,             0.97699,             0.76589,            0.017358,           0.0059228,           0.0022838,            7.78e-05,            7.78e-05,            7.78e-05
                  76,            0.014932,           0.0050754,           0.0017591,             0.97238,             0.96029,             0.97535,             0.76507,            0.017538,           0.0059375,           0.0025839,            7.75e-05,            7.75e-05,            7.75e-05
                  77,            0.015253,           0.0049301,           0.0024406,              0.9619,             0.96236,             0.97107,             0.76128,            0.017473,           0.0059719,           0.0026146,            7.72e-05,            7.72e-05,            7.72e-05
                  78,            0.015517,            0.005271,           0.0026546,             0.96344,             0.96429,             0.97302,             0.76372,            0.017447,           0.0059677,           0.0021541,            7.69e-05,            7.69e-05,            7.69e-05
                  79,            0.014553,           0.0049716,           0.0020165,             0.97456,             0.95478,             0.97379,             0.76596,            0.017431,           0.0059763,           0.0021678,            7.66e-05,            7.66e-05,            7.66e-05
                  80,            0.014566,           0.0048261,           0.0018733,             0.95957,             0.96631,              0.9732,             0.76267,            0.017504,           0.0060268,           0.0023624,            7.63e-05,            7.63e-05,            7.63e-05
                  81,            0.014814,           0.0049135,           0.0019792,             0.96408,             0.95515,             0.97331,              0.7645,            0.017506,           0.0060318,           0.0026701,             7.6e-05,             7.6e-05,             7.6e-05
                  82,            0.014286,           0.0046809,           0.0018239,             0.96181,             0.96158,             0.97403,             0.76484,             0.01745,           0.0060341,           0.0026233,            7.57e-05,            7.57e-05,            7.57e-05
                  83,            0.014412,           0.0049698,           0.0017862,             0.96416,             0.96077,             0.97463,             0.76628,            0.017419,           0.0060334,           0.0024859,            7.54e-05,            7.54e-05,            7.54e-05
                  84,            0.014146,           0.0049055,           0.0019385,             0.96765,             0.95784,             0.97623,             0.76614,             0.01744,           0.0060306,           0.0022989,            7.51e-05,            7.51e-05,            7.51e-05
                  85,            0.014282,           0.0048472,           0.0020228,             0.96674,             0.95871,             0.97665,              0.7639,            0.017479,           0.0060465,           0.0025151,            7.48e-05,            7.48e-05,            7.48e-05
                  86,            0.013995,           0.0048538,            0.002173,             0.96521,             0.95809,             0.97517,             0.76467,            0.017447,           0.0060337,           0.0025237,            7.45e-05,            7.45e-05,            7.45e-05
                  87,            0.014342,           0.0048139,           0.0019385,             0.96247,             0.96093,             0.97456,             0.76642,            0.017499,           0.0060674,           0.0024816,            7.42e-05,            7.42e-05,            7.42e-05
                  88,            0.013964,           0.0047002,           0.0015592,             0.96187,             0.96056,             0.97419,             0.76488,            0.017498,           0.0060737,           0.0024581,            7.39e-05,            7.39e-05,            7.39e-05
                  89,            0.014084,           0.0047898,           0.0020204,             0.96818,             0.96059,             0.97404,             0.76223,            0.017456,            0.006074,           0.0022743,            7.36e-05,            7.36e-05,            7.36e-05
                  90,            0.014301,           0.0049117,           0.0022669,             0.96757,             0.95576,             0.97258,             0.76265,            0.017442,           0.0060702,           0.0023398,            7.33e-05,            7.33e-05,            7.33e-05
                  91,            0.014218,           0.0049711,           0.0021274,             0.97098,             0.95999,             0.97522,             0.76662,            0.017416,            0.006064,           0.0020793,             7.3e-05,             7.3e-05,             7.3e-05
